"species_id","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002"
"PM",NA,3,6,1,16,72,42,12,17,34,133,54,27,NA,NA,NA,NA,NA,8,50,271,103,44,2,3,1
"PP",7,24,20,17,20,32,32,26,35,26,45,53,45,34,88,131,100,74,277,298,325,208,167,381,273,385
"PU",NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"PX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,NA,1,NA,NA
"RF",NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,11,49,12,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"RM",2,3,6,46,29,154,127,60,72,53,189,211,398,231,307,158,103,40,81,90,158,13,28,15,15,20
"RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"RX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA
"SA",NA,2,NA,NA,11,17,10,20,3,1,1,1,3,NA,2,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA
"SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,18,7,3,3,NA,NA,NA,NA,NA,NA,NA,NA,7
"SH",1,1,NA,NA,NA,2,2,NA,NA,1,5,31,55,9,1,NA,NA,NA,NA,NA,7,NA,2,8,11,11
"SO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,20,6,3,NA,NA,3,NA,NA,NA,NA,NA
"SS",1,8,2,9,8,12,12,15,14,12,20,20,18,5,2,7,1,7,7,16,12,15,7,4,5,9
"ST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA
"UL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"UP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,2,1
"US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"ZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
