"record_id","species_id","date","sex","variable","measurement"
67,"DM","1977-8-19","M","hindfoot_length",35
67,"DM","1977-8-19","M","weight",36
68,"DO","1977-8-19","F","hindfoot_length",32
68,"DO","1977-8-19","F","weight",52
69,"PF","1977-8-19","M","hindfoot_length",15
69,"PF","1977-8-19","M","weight",8
70,"OX","1977-8-19","F","hindfoot_length",21
70,"OX","1977-8-19","F","weight",22
71,"DM","1977-8-19","F","hindfoot_length",36
71,"DM","1977-8-19","F","weight",35
72,"NL","1977-8-19","M","hindfoot_length",31
72,"NL","1977-8-19","M","weight",NA
73,"DS","1977-8-19","F","hindfoot_length",44
73,"DS","1977-8-19","F","weight",NA
74,"PF","1977-8-19","M","hindfoot_length",12
74,"PF","1977-8-19","M","weight",7
75,"DM","1977-8-19","F","hindfoot_length",32
75,"DM","1977-8-19","F","weight",22
76,"DS","1977-8-19","F","hindfoot_length",47
76,"DS","1977-8-19","F","weight",NA
78,"PF","1977-8-19","M","hindfoot_length",16
78,"PF","1977-8-19","M","weight",9
79,"DM","1977-8-19","F","hindfoot_length",34
79,"DM","1977-8-19","F","weight",42
80,"DS","1977-8-19","M","hindfoot_length",48
80,"DS","1977-8-19","M","weight",NA
81,"PF","1977-8-19","F","hindfoot_length",14
81,"PF","1977-8-19","F","weight",8
82,"DM","1977-8-19","F","hindfoot_length",35
82,"DM","1977-8-19","F","weight",41
83,"DM","1977-8-20","F","hindfoot_length",37
83,"DM","1977-8-20","F","weight",37
84,"DM","1977-8-20","F","hindfoot_length",35
84,"DM","1977-8-20","F","weight",43
85,"DM","1977-8-20","F","hindfoot_length",35
85,"DM","1977-8-20","F","weight",41
86,"DM","1977-8-20","F","hindfoot_length",33
86,"DM","1977-8-20","F","weight",40
87,"PF","1977-8-20","F","hindfoot_length",11
87,"PF","1977-8-20","F","weight",9
88,"DM","1977-8-20","F","hindfoot_length",35
88,"DM","1977-8-20","F","weight",45
89,"PP","1977-8-20","F","hindfoot_length",20
89,"PP","1977-8-20","F","weight",15
90,"DM","1977-8-20","M","hindfoot_length",35
90,"DM","1977-8-20","M","weight",29
91,"DS","1977-8-20","F","hindfoot_length",50
91,"DS","1977-8-20","F","weight",NA
92,"DM","1977-8-20","M","hindfoot_length",35
92,"DM","1977-8-20","M","weight",39
94,"DM","1977-8-20","F","hindfoot_length",36
94,"DM","1977-8-20","F","weight",43
95,"DM","1977-8-20","M","hindfoot_length",38
95,"DM","1977-8-20","M","weight",46
96,"DM","1977-8-20","M","hindfoot_length",36
96,"DM","1977-8-20","M","weight",41
97,"DM","1977-8-20","M","hindfoot_length",36
97,"DM","1977-8-20","M","weight",41
98,"DM","1977-8-20","M","hindfoot_length",38
98,"DM","1977-8-20","M","weight",40
99,"DM","1977-8-20","M","hindfoot_length",37
99,"DM","1977-8-20","M","weight",45
100,"DS","1977-8-20","F","hindfoot_length",54
100,"DS","1977-8-20","F","weight",NA
101,"DM","1977-8-20","F","hindfoot_length",35
101,"DM","1977-8-20","F","weight",46
102,"DM","1977-8-20","F","hindfoot_length",35
102,"DM","1977-8-20","F","weight",40
103,"DM","1977-8-20","F","hindfoot_length",35
103,"DM","1977-8-20","F","weight",30
104,"DS","1977-8-20","M","hindfoot_length",43
104,"DS","1977-8-20","M","weight",NA
105,"DM","1977-8-20","M","hindfoot_length",35
105,"DM","1977-8-20","M","weight",39
108,"PP","1977-8-20","M","hindfoot_length",21
108,"PP","1977-8-20","M","weight",NA
109,"DM","1977-8-20","M","hindfoot_length",35
109,"DM","1977-8-20","M","weight",34
111,"DM","1977-8-20","F","hindfoot_length",37
111,"DM","1977-8-20","F","weight",42
112,"DM","1977-8-20","M","hindfoot_length",37
112,"DM","1977-8-20","M","weight",42
113,"PF","1977-8-20","F","hindfoot_length",13
113,"PF","1977-8-20","F","weight",8
114,"DM","1977-8-21","F","hindfoot_length",32
114,"DM","1977-8-21","F","weight",NA
115,"DM","1977-8-21","M","hindfoot_length",34
115,"DM","1977-8-21","M","weight",NA
116,"DM","1977-8-21","F","hindfoot_length",37
116,"DM","1977-8-21","F","weight",31
117,"OX","1977-8-21","F","hindfoot_length",19
117,"OX","1977-8-21","F","weight",NA
118,"DM","1977-8-21","M","hindfoot_length",33
118,"DM","1977-8-21","M","weight",NA
119,"DM","1977-8-21","M","hindfoot_length",35
119,"DM","1977-8-21","M","weight",NA
120,"DM","1977-8-21","M","hindfoot_length",35
120,"DM","1977-8-21","M","weight",NA
122,"DM","1977-8-21","F","hindfoot_length",33
122,"DM","1977-8-21","F","weight",NA
123,"DM","1977-8-21","M","hindfoot_length",37
123,"DM","1977-8-21","M","weight",NA
124,"DM","1977-8-21","M","hindfoot_length",36
124,"DM","1977-8-21","M","weight",NA
125,"DM","1977-8-21","M","hindfoot_length",35
125,"DM","1977-8-21","M","weight",NA
126,"DM","1977-8-21","F","hindfoot_length",30
126,"DM","1977-8-21","F","weight",NA
127,"DM","1977-8-21","M","hindfoot_length",33
127,"DM","1977-8-21","M","weight",NA
128,"DM","1977-8-21","M","hindfoot_length",34
128,"DM","1977-8-21","M","weight",NA
129,"DM","1977-8-21","F","hindfoot_length",34
129,"DM","1977-8-21","F","weight",NA
130,"DM","1977-8-21","F","hindfoot_length",34
130,"DM","1977-8-21","F","weight",NA
131,"DM","1977-8-21","M","hindfoot_length",37
131,"DM","1977-8-21","M","weight",NA
132,"DM","1977-8-21","F","hindfoot_length",33
132,"DM","1977-8-21","F","weight",NA
133,"DM","1977-8-21","M","hindfoot_length",37
133,"DM","1977-8-21","M","weight",NA
134,"DS","1977-8-21","F","hindfoot_length",45
134,"DS","1977-8-21","F","weight",NA
135,"DM","1977-8-21","F","hindfoot_length",35
135,"DM","1977-8-21","F","weight",NA
136,"PF","1977-8-21","F","hindfoot_length",16
136,"PF","1977-8-21","F","weight",NA
137,"DM","1977-8-21","F","hindfoot_length",35
137,"DM","1977-8-21","F","weight",NA
138,"DM","1977-8-21","M","hindfoot_length",37
138,"DM","1977-8-21","M","weight",NA
139,"PF","1977-8-21","M","hindfoot_length",15
139,"PF","1977-8-21","M","weight",NA
140,"DM","1977-8-21","M","hindfoot_length",33
140,"DM","1977-8-21","M","weight",NA
141,"DM","1977-8-21","M","hindfoot_length",36
141,"DM","1977-8-21","M","weight",NA
142,"DM","1977-8-21","F","hindfoot_length",34
142,"DM","1977-8-21","F","weight",NA
143,"DM","1977-8-21","M","hindfoot_length",35
143,"DM","1977-8-21","M","weight",NA
144,"DS","1977-8-21","M","hindfoot_length",40
144,"DS","1977-8-21","M","weight",NA
145,"DM","1977-8-21","F","hindfoot_length",37
145,"DM","1977-8-21","F","weight",NA
146,"DM","1977-8-21","F","hindfoot_length",36
146,"DM","1977-8-21","F","weight",40
147,"DM","1977-8-21","M","hindfoot_length",37
147,"DM","1977-8-21","M","weight",NA
148,"DM","1977-8-21","M","hindfoot_length",37
148,"DM","1977-8-21","M","weight",NA
149,"DS","1977-8-21","M","hindfoot_length",50
149,"DS","1977-8-21","M","weight",NA
150,"DM","1977-8-21","M","hindfoot_length",35
150,"DM","1977-8-21","M","weight",NA
151,"DM","1977-8-21","M","hindfoot_length",35
151,"DM","1977-8-21","M","weight",NA
152,"DM","1977-8-21","M","hindfoot_length",38
152,"DM","1977-8-21","M","weight",NA
153,"DS","1977-8-21","F","hindfoot_length",50
153,"DS","1977-8-21","F","weight",NA
154,"DS","1977-8-21","F","hindfoot_length",47
154,"DS","1977-8-21","F","weight",NA
156,"DM","1977-8-21","M","hindfoot_length",35
156,"DM","1977-8-21","M","weight",NA
157,"DM","1977-9-11","M","hindfoot_length",36
157,"DM","1977-9-11","M","weight",37
158,"DM","1977-9-11","M","hindfoot_length",36
158,"DM","1977-9-11","M","weight",48
159,"DS","1977-9-11","M","hindfoot_length",53
159,"DS","1977-9-11","M","weight",NA
160,"DM","1977-9-11","M","hindfoot_length",37
160,"DM","1977-9-11","M","weight",NA
161,"DM","1977-9-11","M","hindfoot_length",37
161,"DM","1977-9-11","M","weight",42
162,"DM","1977-9-11","F","hindfoot_length",39
162,"DM","1977-9-11","F","weight",45
163,"PP","1977-9-11","F","hindfoot_length",21
163,"PP","1977-9-11","F","weight",16
164,"DM","1977-9-11","F","hindfoot_length",36
164,"DM","1977-9-11","F","weight",36
165,"DS","1977-9-11","F","hindfoot_length",50
165,"DS","1977-9-11","F","weight",NA
166,"OX","1977-9-11","M","hindfoot_length",13
166,"OX","1977-9-11","M","weight",NA
167,"DM","1977-9-11","M","hindfoot_length",36
167,"DM","1977-9-11","M","weight",42
168,"DM","1977-9-11","M","hindfoot_length",36
168,"DM","1977-9-11","M","weight",44
169,"DM","1977-9-11","M","hindfoot_length",37
169,"DM","1977-9-11","M","weight",NA
170,"DM","1977-9-11","F","hindfoot_length",36
170,"DM","1977-9-11","F","weight",41
172,"PF","1977-9-11","F","hindfoot_length",NA
172,"PF","1977-9-11","F","weight",8
173,"DM","1977-9-11","F","hindfoot_length",36
173,"DM","1977-9-11","F","weight",40
174,"DM","1977-9-11","M","hindfoot_length",37
174,"DM","1977-9-11","M","weight",34
175,"DM","1977-9-11","M","hindfoot_length",33
175,"DM","1977-9-11","M","weight",40
176,"DS","1977-9-11","M","hindfoot_length",45
176,"DS","1977-9-11","M","weight",NA
177,"OX","1977-9-11","F","hindfoot_length",NA
177,"OX","1977-9-11","F","weight",20
178,"DM","1977-9-11","M","hindfoot_length",33
178,"DM","1977-9-11","M","weight",44
179,"DM","1977-9-11","M","hindfoot_length",37
179,"DM","1977-9-11","M","weight",44
180,"DM","1977-9-11","M","hindfoot_length",34
180,"DM","1977-9-11","M","weight",36
181,"DM","1977-9-11","M","hindfoot_length",35
181,"DM","1977-9-11","M","weight",33
182,"DS","1977-9-11","M","hindfoot_length",49
182,"DS","1977-9-11","M","weight",NA
183,"DM","1977-9-11","F","hindfoot_length",37
183,"DM","1977-9-11","F","weight",46
184,"DS","1977-9-11","M","hindfoot_length",52
184,"DS","1977-9-11","M","weight",NA
185,"OX","1977-9-11","F","hindfoot_length",19
185,"OX","1977-9-11","F","weight",NA
186,"DM","1977-9-11","F","hindfoot_length",34
186,"DM","1977-9-11","F","weight",35
187,"DM","1977-9-12","M","hindfoot_length",36
187,"DM","1977-9-12","M","weight",46
188,"DS","1977-9-12","F","hindfoot_length",48
188,"DS","1977-9-12","F","weight",NA
189,"DM","1977-9-12","F","hindfoot_length",33
189,"DM","1977-9-12","F","weight",37
190,"DM","1977-9-12","M","hindfoot_length",36
190,"DM","1977-9-12","M","weight",34
191,"DS","1977-9-12","M","hindfoot_length",47
191,"DS","1977-9-12","M","weight",NA
192,"DM","1977-9-12","F","hindfoot_length",36
192,"DM","1977-9-12","F","weight",45
195,"DS","1977-9-12","M","hindfoot_length",50
195,"DS","1977-9-12","M","weight",NA
196,"PF","1977-9-12","F","hindfoot_length",15
196,"PF","1977-9-12","F","weight",7
197,"DM","1977-9-12","M","hindfoot_length",37
197,"DM","1977-9-12","M","weight",51
198,"DM","1977-9-12","M","hindfoot_length",35
198,"DM","1977-9-12","M","weight",39
199,"DM","1977-9-12","M","hindfoot_length",36
199,"DM","1977-9-12","M","weight",29
200,"DS","1977-9-12","F","hindfoot_length",52
200,"DS","1977-9-12","F","weight",NA
201,"DS","1977-9-12","M","hindfoot_length",47
201,"DS","1977-9-12","M","weight",NA
202,"DM","1977-9-12","F","hindfoot_length",32
202,"DM","1977-9-12","F","weight",48
203,"DM","1977-9-12","M","hindfoot_length",38
203,"DM","1977-9-12","M","weight",46
204,"DM","1977-9-12","F","hindfoot_length",37
204,"DM","1977-9-12","F","weight",41
205,"DS","1977-9-12","M","hindfoot_length",50
205,"DS","1977-9-12","M","weight",NA
206,"DS","1977-9-12","F","hindfoot_length",52
206,"DS","1977-9-12","F","weight",NA
207,"DS","1977-9-12","F","hindfoot_length",53
207,"DS","1977-9-12","F","weight",NA
208,"DM","1977-9-12","M","hindfoot_length",37
208,"DM","1977-9-12","M","weight",45
209,"DM","1977-9-12","F","hindfoot_length",35
209,"DM","1977-9-12","F","weight",42
210,"DM","1977-9-12","F","hindfoot_length",36
210,"DM","1977-9-12","F","weight",53
211,"DS","1977-9-12","F","hindfoot_length",48
211,"DS","1977-9-12","F","weight",NA
213,"DM","1977-9-12","F","hindfoot_length",35
213,"DM","1977-9-12","F","weight",49
215,"DM","1977-9-12","F","hindfoot_length",36
215,"DM","1977-9-12","F","weight",46
216,"PF","1977-9-12","F","hindfoot_length",13
216,"PF","1977-9-12","F","weight",9
217,"PP","1977-9-13","F","hindfoot_length",19
217,"PP","1977-9-13","F","weight",15
218,"PF","1977-9-13","M","hindfoot_length",13
218,"PF","1977-9-13","M","weight",4
219,"DM","1977-9-13","M","hindfoot_length",36
219,"DM","1977-9-13","M","weight",48
220,"DS","1977-9-13","M","hindfoot_length",52
220,"DS","1977-9-13","M","weight",NA
222,"DS","1977-9-13","M","hindfoot_length",52
222,"DS","1977-9-13","M","weight",NA
223,"DS","1977-9-13","F","hindfoot_length",50
223,"DS","1977-9-13","F","weight",NA
226,"DM","1977-9-13","M","hindfoot_length",37
226,"DM","1977-9-13","M","weight",51
228,"DM","1977-9-13","M","hindfoot_length",38
228,"DM","1977-9-13","M","weight",50
229,"DM","1977-9-13","M","hindfoot_length",35
229,"DM","1977-9-13","M","weight",44
232,"DS","1977-9-13","M","hindfoot_length",48
232,"DS","1977-9-13","M","weight",NA
233,"DM","1977-9-13","M","hindfoot_length",25
233,"DM","1977-9-13","M","weight",44
234,"DM","1977-9-13","M","hindfoot_length",35
234,"DM","1977-9-13","M","weight",45
235,"DM","1977-9-13","F","hindfoot_length",37
235,"DM","1977-9-13","F","weight",45
236,"DS","1977-9-13","F","hindfoot_length",47
236,"DS","1977-9-13","F","weight",NA
237,"DS","1977-9-13","F","hindfoot_length",50
237,"DS","1977-9-13","F","weight",NA
238,"PE","1977-9-13","M","hindfoot_length",20
238,"PE","1977-9-13","M","weight",19
239,"DS","1977-9-13","M","hindfoot_length",48
239,"DS","1977-9-13","M","weight",NA
240,"DS","1977-9-13","F","hindfoot_length",53
240,"DS","1977-9-13","F","weight",NA
242,"OX","1977-9-13","M","hindfoot_length",19
242,"OX","1977-9-13","M","weight",22
243,"DM","1977-10-16","F","hindfoot_length",38
243,"DM","1977-10-16","F","weight",44
244,"DM","1977-10-16","F","hindfoot_length",36
244,"DM","1977-10-16","F","weight",42
245,"DM","1977-10-16","M","hindfoot_length",37
245,"DM","1977-10-16","M","weight",39
246,"DM","1977-10-16","M","hindfoot_length",37
246,"DM","1977-10-16","M","weight",47
247,"DS","1977-10-16","M","hindfoot_length",54
247,"DS","1977-10-16","M","weight",NA
248,"OT","1977-10-16","M","hindfoot_length",NA
248,"OT","1977-10-16","M","weight",21
249,"DM","1977-10-16","M","hindfoot_length",36
249,"DM","1977-10-16","M","weight",42
250,"DS","1977-10-16","F","hindfoot_length",51
250,"DS","1977-10-16","F","weight",NA
251,"DM","1977-10-16","M","hindfoot_length",36
251,"DM","1977-10-16","M","weight",49
252,"DS","1977-10-16","F","hindfoot_length",53
252,"DS","1977-10-16","F","weight",NA
253,"DM","1977-10-16","M","hindfoot_length",38
253,"DM","1977-10-16","M","weight",39
254,"DM","1977-10-16","F","hindfoot_length",36
254,"DM","1977-10-16","F","weight",43
255,"DM","1977-10-16","M","hindfoot_length",35
255,"DM","1977-10-16","M","weight",50
256,"DM","1977-10-16","M","hindfoot_length",36
256,"DM","1977-10-16","M","weight",41
257,"DM","1977-10-16","M","hindfoot_length",37
257,"DM","1977-10-16","M","weight",47
258,"DM","1977-10-16","F","hindfoot_length",36
258,"DM","1977-10-16","F","weight",37
259,"DM","1977-10-16","M","hindfoot_length",36
259,"DM","1977-10-16","M","weight",41
260,"DM","1977-10-16","F","hindfoot_length",36
260,"DM","1977-10-16","F","weight",36
261,"DM","1977-10-16","M","hindfoot_length",36
261,"DM","1977-10-16","M","weight",45
262,"PE","1977-10-16","M","hindfoot_length",19
262,"PE","1977-10-16","M","weight",20
263,"DM","1977-10-16","M","hindfoot_length",37
263,"DM","1977-10-16","M","weight",40
264,"DS","1977-10-16","F","hindfoot_length",49
264,"DS","1977-10-16","F","weight",NA
265,"DM","1977-10-16","M","hindfoot_length",38
265,"DM","1977-10-16","M","weight",49
267,"DS","1977-10-16","F","hindfoot_length",46
267,"DS","1977-10-16","F","weight",NA
268,"DM","1977-10-16","F","hindfoot_length",36
268,"DM","1977-10-16","F","weight",55
269,"DM","1977-10-16","M","hindfoot_length",37
269,"DM","1977-10-16","M","weight",46
270,"DM","1977-10-16","F","hindfoot_length",36
270,"DM","1977-10-16","F","weight",38
271,"DS","1977-10-16","F","hindfoot_length",50
271,"DS","1977-10-16","F","weight",NA
273,"DM","1977-10-16","M","hindfoot_length",37
273,"DM","1977-10-16","M","weight",44
274,"OL","1977-10-16","F","hindfoot_length",20
274,"OL","1977-10-16","F","weight",21
275,"DM","1977-10-16","M","hindfoot_length",37
275,"DM","1977-10-16","M","weight",41
276,"DS","1977-10-16","F","hindfoot_length",50
276,"DS","1977-10-16","F","weight",NA
278,"DS","1977-10-16","M","hindfoot_length",50
278,"DS","1977-10-16","M","weight",NA
279,"PE","1977-10-16","F","hindfoot_length",19
279,"PE","1977-10-16","F","weight",NA
280,"DM","1977-10-16","M","hindfoot_length",37
280,"DM","1977-10-16","M","weight",46
283,"DM","1977-10-16","M","hindfoot_length",34
283,"DM","1977-10-16","M","weight",36
284,"DM","1977-10-16","M","hindfoot_length",37
284,"DM","1977-10-16","M","weight",44
285,"DM","1977-10-16","M","hindfoot_length",36
285,"DM","1977-10-16","M","weight",53
286,"DS","1977-10-16","M","hindfoot_length",50
286,"DS","1977-10-16","M","weight",NA
287,"DM","1977-10-17","M","hindfoot_length",38
287,"DM","1977-10-17","M","weight",41
288,"DM","1977-10-17","M","hindfoot_length",37
288,"DM","1977-10-17","M","weight",48
289,"DM","1977-10-17","M","hindfoot_length",38
289,"DM","1977-10-17","M","weight",47
290,"DM","1977-10-17","F","hindfoot_length",33
290,"DM","1977-10-17","F","weight",NA
291,"DS","1977-10-17","F","hindfoot_length",47
291,"DS","1977-10-17","F","weight",NA
292,"DO","1977-10-17","F","hindfoot_length",36
292,"DO","1977-10-17","F","weight",33
293,"DM","1977-10-17","F","hindfoot_length",36
293,"DM","1977-10-17","F","weight",42
294,"DO","1977-10-17","F","hindfoot_length",37
294,"DO","1977-10-17","F","weight",50
295,"DM","1977-10-17","M","hindfoot_length",36
295,"DM","1977-10-17","M","weight",41
298,"DM","1977-10-17","M","hindfoot_length",36
298,"DM","1977-10-17","M","weight",49
299,"OT","1977-10-17","M","hindfoot_length",19
299,"OT","1977-10-17","M","weight",NA
300,"DS","1977-10-17","F","hindfoot_length",NA
300,"DS","1977-10-17","F","weight",NA
301,"DS","1977-10-17","F","hindfoot_length",48
301,"DS","1977-10-17","F","weight",NA
302,"DM","1977-10-17","F","hindfoot_length",36
302,"DM","1977-10-17","F","weight",44
303,"DM","1977-10-17","M","hindfoot_length",36
303,"DM","1977-10-17","M","weight",31
304,"DM","1977-10-17","M","hindfoot_length",37
304,"DM","1977-10-17","M","weight",40
305,"DM","1977-10-17","F","hindfoot_length",35
305,"DM","1977-10-17","F","weight",40
306,"DM","1977-10-17","M","hindfoot_length",33
306,"DM","1977-10-17","M","weight",23
307,"DM","1977-10-17","M","hindfoot_length",36
307,"DM","1977-10-17","M","weight",42
308,"DS","1977-10-17","F","hindfoot_length",48
308,"DS","1977-10-17","F","weight",NA
309,"DS","1977-10-17","M","hindfoot_length",49
309,"DS","1977-10-17","M","weight",NA
311,"RM","1977-10-17","M","hindfoot_length",18
311,"RM","1977-10-17","M","weight",13
312,"DM","1977-10-17","F","hindfoot_length",36
312,"DM","1977-10-17","F","weight",42
313,"DM","1977-10-17","M","hindfoot_length",35
313,"DM","1977-10-17","M","weight",31
315,"DM","1977-10-17","M","hindfoot_length",36
315,"DM","1977-10-17","M","weight",39
316,"DM","1977-10-17","M","hindfoot_length",37
316,"DM","1977-10-17","M","weight",48
317,"DO","1977-10-17","F","hindfoot_length",32
317,"DO","1977-10-17","F","weight",48
318,"DM","1977-10-17","M","hindfoot_length",33
318,"DM","1977-10-17","M","weight",29
319,"DM","1977-10-17","M","hindfoot_length",36
319,"DM","1977-10-17","M","weight",45
320,"DM","1977-10-17","F","hindfoot_length",35
320,"DM","1977-10-17","F","weight",39
321,"OL","1977-10-17","F","hindfoot_length",NA
321,"OL","1977-10-17","F","weight",23
322,"DS","1977-10-17","F","hindfoot_length",47
322,"DS","1977-10-17","F","weight",NA
323,"DO","1977-10-17","F","hindfoot_length",33
323,"DO","1977-10-17","F","weight",31
327,"DS","1977-10-18","F","hindfoot_length",50
327,"DS","1977-10-18","F","weight",NA
328,"DM","1977-10-18","F","hindfoot_length",NA
328,"DM","1977-10-18","F","weight",43
329,"DS","1977-10-18","F","hindfoot_length",47
329,"DS","1977-10-18","F","weight",NA
330,"DM","1977-10-18","M","hindfoot_length",37
330,"DM","1977-10-18","M","weight",43
331,"DS","1977-10-18","F","hindfoot_length",50
331,"DS","1977-10-18","F","weight",NA
332,"PF","1977-10-18","M","hindfoot_length",16
332,"PF","1977-10-18","M","weight",8
334,"DM","1977-10-18","F","hindfoot_length",37
334,"DM","1977-10-18","F","weight",45
335,"DS","1977-10-18","M","hindfoot_length",52
335,"DS","1977-10-18","M","weight",NA
336,"DM","1977-10-18","M","hindfoot_length",36
336,"DM","1977-10-18","M","weight",40
337,"DO","1977-10-18","F","hindfoot_length",35
337,"DO","1977-10-18","F","weight",41
338,"DM","1977-10-18","M","hindfoot_length",37
338,"DM","1977-10-18","M","weight",41
339,"DS","1977-10-18","F","hindfoot_length",49
339,"DS","1977-10-18","F","weight",NA
340,"DM","1977-10-18","F","hindfoot_length",36
340,"DM","1977-10-18","F","weight",39
341,"DS","1977-10-18","M","hindfoot_length",50
341,"DS","1977-10-18","M","weight",NA
342,"DM","1977-10-18","M","hindfoot_length",34
342,"DM","1977-10-18","M","weight",25
